Main Title,Person-A,# Person-A,Org-A,Loc-A,Person-N,# Person-N,Org-N,Loc-N,Gpe-N,Person-S,# Person-S,Org-S,Loc-S
James Fitzsimmons and Laura Doerzbacker standing in Bell telephone booth in Syria Mosque for the 1958 Pittsburgh Courier Home Service Fair, , , , ,"James, Laura Doerzbacker",2,Fitzsimmons,,Bell,"James Fitzsimmons, Laura Doerzbacker",2,"Bell, Pittsburgh Courier Home Service Fair",Syria Mosque
"William Porter standing in Budweiser Beer booth, in Syria Mosque for the 1957 Pittsburgh Courier Home Service Fair", , , , ,William,1,,,Budweiser Beer,William Porter,1,Pittsburgh Courier Home Service Fair,Syria Mosque
"Sales representative Robert ""Bob"" P. French Jr., holding bottle of Seagram's Crown Royal, and regional sales manager Frank Cepits, posed with display of Seagram's products in interior with bold block print patterned curtain, another version", , , , ,"Robert, Bob, French Jr., Crown Royal, Frank Cepits",5,,,"Seagram, Seagram","Robert `` Bob, Frank Cepits",2,"Seagram, Seagram",
"Group portrait of three women, possibly waitresses, standing in front of Centre News restaurant, 2167 Centre Avenue, Hill District", , , , ,Hill District,1,"Centre News, Centre Avenue",,Group,Hill District,1,Centre News,2167 Centre Avenue
"Democrat K. Leroy Irvis and Republican David Thompkins, candidates for State Legislature in First Legislative District, standing in front of Fifth Ward's 18th District polling place, Hill District", , , , ,"Democrat, Leroy Irvis, David Thompkins, Fifth Ward, Hill District",5,"Republican, State Legislature",,District,"K. Leroy Irvis, David Thompkins, Hill District",3,"State Legislature, First Legislative District, 18th District",Fifth Ward
"Herman Brontz, Jack Baumgartner and Jack Miller, standing in Top Value Stamp Company booth with two people wearing plaid elephant costumes, in Syria Mosque for the 1956 Pittsburgh Courier Home Service Fair", , , , ,"Herman, Jack Baumgartner, Jack Miller, Value Stamp Company",4,Brontz,,,"Herman Brontz, Jack Baumgartner, Jack Miller",3,Top Value Stamp Company,"Syria Mosque, Pittsburgh"
"Vincent ""Roots' Wilson protesting in front of Allegheny County Courthouse with placard reading ""Where is justice for the Negro - Heard gets 9 to 18 mos. White - McBeth goes free""", , , , ,"Roots, Wilson, Allegheny County Courthouse, Heard",4,Negro,,,"Vincent `` Roots, Wilson, McBeth",3,,Allegheny County Courthouse
"Crowd of people gathered around Ruby Young playing organ next to Pepsi-Cola booth in Syria Mosque for the 1955 Pittsburgh Courier Home Service Fair, another version", , , , ,Ruby Young,1,,,Crowd,Ruby Young,1,Pepsi-Cola,"Syria Mosque, Pittsburgh"
Boy eating sample wiener on a toothpick with men and women standing behind him at Oswald & Hess Company booth in Syria Mosque for the 1957 Pittsburgh Courier Home Service Fair, , , , ,,0,"Oswald, Hess Company",,,,0,"Oswald & Hess Company, Pittsburgh Courier Home Service Fair",Syria Mosque
"Director of public and industrial relations for Peoples Cab Company Curtis B. Haines, presenting Westinghouse Electric Roaster to Mr. and Mrs. Alfred Carl Sr., standing by Alfred Carl Jr. seated in cab, in front of People's Cab building with banner inscribed ""Arrest accidents, reward: safety""", , , , ,"Peoples Cab Company Curtis, Haines, Mr., Carl Sr., Alfred Carl",5,"Westinghouse Electric, Cab",,"People, Arrest","Curtis B. Haines, Alfred Carl Sr., Alfred Carl Jr.",3,"Peoples Cab Company, Westinghouse Electric Roaster, People 's Cab",
"Portrait of Helen Phillips posed with hand on hip, in front of scalloped background, in Harris Studio", , , , ,Helen Phillips,1,,,"Portrait, Harris",Helen Phillips,1,,Harris Studio
"Mrs. Berry wearing large corsage, unknown man, and Edwin C. ""Bill"" Berry seated behind dining table with bread rolls in Centre Avenue YMCA", , , , ,"Berry, Edwin C., Bill, Berry",4,,,Centre,"Berry, Edwin C. `` Bill '' Berry",2,,Centre Avenue YMCA
"Lionel Hampton, Marva Louis, and George Brown posed behind microphone in Loendi Club", , , , ,"Lionel, Marva Louis, George Brown",3,Hampton,,Loendi Club,"Lionel Hampton, Marva Louis, George Brown",3,,Loendi Club
Duke Ellington talking with Pittsburgh Courier columnist Julia Bumry Jones in Loendi Club, , , , ,"Duke, Ellington, Pittsburgh Courier, Julia Bumry Jones",4,,,Loendi Club,"Duke Ellington, Julia Bumry Jones",2,Pittsburgh Courier,Loendi Club
"George Auld wearing double breasted pinstriped suit, and Billy Eckstine, standing in Loendi Club, for reception in honor of Lena Horne", , , , ,"George, Billy Eckstine, Lena Horne",3,,,Loendi Club,"George Auld, Billy Eckstine, Lena Horne",3,,Loendi Club
Reporters George E. Pitts and Mal Goode speaking with Nat King Cole in restaurant at Carlton House Hotel, , , , ,"George E. Pitts, Mal Goode, Nat King Cole",3,,,,"George E. Pitts, Mal Goode",2,,Carlton House Hotel
"Centre Avenue YMCA basketball team with Samuel Barber, James Covington, Rudy Riley, James Atkins, Robert Branch, Pat Wade, Craig Copeland, Ray Gloster, Harry Lawrence, Donald Myers, physical education director Walter Crocker, and coach Merman Austin, posed in Y formation in gymnasium", , , , ,"Centre, Avenue YMCA, Samuel Barber, James Covington, Rudy Riley, James Atkins, Robert Branch, Pat Wade, Craig Copeland, Ray Gloster, Harry Lawrence, Donald Myers, Walter Crocker, Merman Austin",14,,,Y,"Samuel Barber, James Covington, Rudy Riley, James Atkins, Robert Branch, Pat Wade, Craig Copeland, Ray Gloster, Harry Lawrence, Donald Myers, Walter Crocker, Merman Austin",12,Centre Avenue YMCA,
"Portrait of Delores Woodfork wearing scoop neck dress with gathers at neckline and beaded earrings, seated next to desk with wooden statue, another pose", , , , ,Delores Woodfork,1,,,Portrait,Delores Woodfork,1,,
"Group portrait, clockwise: Mr. and Mrs. Luvernis Lee, Lucille Stewart, Mrs. Harry G. Washington, Mrs. Linn Washington at banquet table, with Miriam Sharpe Fountain seated, and Wendell Freeland standing in background, in Villa Monaco during FROGS week cocktail party", , , , ,"Mr., Lee, Lucille Stewart, Harry G. Washington, Linn Washington, Miriam Sharpe Fountain",6,"Wendell Freeland, FROGS",,"Group, Villa","Luvernis Lee, Lucille Stewart, Harry G. Washington, Linn Washington, Miriam Sharpe Fountain, Wendell Freeland",6,,Villa Monaco
"NAACP workers, seated from left: Melusena Carl Whitlock, Lucy Robinson or Susan Fowler, Coretta Ogburn, John G. Jones, Romaine Jackson Childs; standing: Rev. Samuel L. Spear and Boyd L. Wilson, gathered around table for 1954 NAACP Membership Campaign", , , , ,"Melusena Carl Whitlock, Lucy Robinson, Susan Fowler, Coretta Ogburn, John G. Jones, Romaine Jackson Childs",6,,,NAACP,"Melusena Carl Whitlock, Lucy Robinson, Susan Fowler, Coretta Ogburn, John G. Jones, Romaine Jackson Childs, Samuel L. Spear, Boyd L. Wilson",8,"NAACP, NAACP",
"Copy of newspaper clipping of Mr. Morris Fountain and Mrs. Miriam Sharpe Fountain, with ""Married in Chicago"" headline above couple", , , , ,"Mr. Morris Fountain, Miriam Sharpe Fountain",2,,,"Copy, Chicago","Morris Fountain, Miriam Sharpe Fountain",2,,Chicago
"Group portrait of FROGS wives, including Ann Barnett, Miriam Sharp Fountain, Ms. Washington, Louise Ford, Helen Shield, and Marilyn Fountain, with Morris Fountain [blurred] near front, posed in Redwood Motor Hotel for FROGS Dinner - Dance party", , , , ,"Ann Barnett, Miriam Sharp Fountain, Louise Ford, Helen Shield, Marilyn Fountain, Morris Fountain",6,"FROGS, FROGS Dinner",,"Group, Washington, Redwood, Dance","Ann Barnett, Miriam Sharp Fountain, Washington, Louise Ford, Helen Shield, Marilyn Fountain",6,"FROGS, Morris Fountain",Redwood Motor Hotel
"Group portrait of Mr. and Mrs. Byron Peters and Mr. and Mrs. Harry G. Washington, standing in front of Christmas tree in Redwood Motor Hotel for FROGS Dinner - Dance party", , , , ,"Mr., Byron Peters, Mr., Harry G. Washington",4,FROGS Dinner,,"Group, Christmas, Redwood, Dance","Byron Peters, Harry G. Washington",2,,Redwood Motor Hotel
Men and women wearing NAACP Pennsylvania State Conference tags seated at banquet tables in downtown YWCA for youth council luncheon meeting, , , , ,,0,"NAACP Pennsylvania, YWCA",,Men,,0,NAACP Pennsylvania State Conference,
"Two women, possibly including singer Catherine Wallace on right, holding cake in interior with two tone walls", , , , ,Catherine Wallace,1,,,,Catherine Wallace,1,,
Men and women seated at three banquet tables in the Greene Hearth for John Wood retirement party, , , , ,John Wood,1,Greene Hearth,,Men,John Wood,1,,Greene Hearth
"Group portrait of wedding party including groom James Norman Schofield and bride Mary Boyce Hutson, standing behind two tiered wedding cake, in home on Magee Street with bold print wallpaper of ivy frames and polka dots, another version", , , , ,"James Norman Schofield, Mary Boyce Hutson, Magee Street",3,,,Group,"James Norman Schofield, Mary Boyce Hutson",2,,Magee Street
"Members of Alpha Sigma Chapter of Alpha Kappa Alpha Sorority, seated from left: Barbara Pollard, Amelia Dobbs, and Barbara Alston Clark; standing: June Gibson, Patricia Yancey, Patricia Prattis (Jennings), Jewel Clark Taylor, and Linda Pollard, posed for youth fashion show at Carnegie Carnegie Institute of Technology", , , , ,"Alpha Sigma Chapter, Alpha Kappa Alpha Sorority, Barbara Pollard, Barbara Alston Clark, Gibson, Patricia Yancey, Patricia Prattis, Jewel Clark Taylor, Linda Pollard",9,"Jennings, Carnegie Carnegie Institute, Technology",,Amelia Dobbs,"Barbara Pollard, Amelia Dobbs, Barbara Alston Clark, June Gibson, Patricia Yancey, Patricia Prattis, Clark Taylor, Linda Pollard",8,"Alpha Kappa Alpha Sorority, Carnegie Carnegie Institute of Technology",
"Groom Royal Finch Jr., and bride Frances Mosby Finch posed arm in arm, in front of altar in St. Richards Church", , , , ,"Groom, Royal Finch Jr., Frances Mosby Finch, Richards Church",4,,,St.,"Groom Royal Finch Jr., Frances Mosby Finch",2,,St. Richards Church
"Men, women, one wearing leaf patterned dress, and children seated at banquet tables in Rodman Baptist Church for 80th Anniversary party", , , , ,,0,,,"Men, Rodman",,0,,Rodman Baptist Church
"Portrait of Delores Sledge wearing dress with flowing crepe bow on shoulder, modeling hairstyle in Pittsburgh Hilton Ballroom, for Gloria Golden Grate's Hair Unlimited show", , , , ,"Delores Sledge, Hilton Ballroom, Gloria Golden Grate, Hair",4,,,"Portrait, Pittsburgh",Delores Sledge,1,Gloria Golden Grate,Pittsburgh Hilton Ballroom
"Group portrait of participants in Annual King and Queen May Festival including, Pamela Young, Gerald Chapman, Watrice Russell, Eartha Sewell, and Kimberlie Jones posed in interior, another version", , , , ,"Queen May Festival, Pamela Young, Gerald Chapman, Eartha Sewell, Kimberlie Jones",5,Watrice Russell,,"Group, Annual","Pamela Young, Gerald Chapman, Watrice Russell, Eartha Sewell, Kimberlie Jones",5,,
"Groom Russell D. Jackson Jr., fourth from left, and bride La Verne C. Edwards Jackson wearing gown with full four tiered lace skirt, posed with wedding party including Dayrene Edwards, Shernell Edwards, Gayle Washington, Charles Jones, LeRoy Norris, and Wesley Gibson, in front of altar of St. James AMEZ Church", , , , ,"Groom, Jackson Jr., La Verne, Jackson, Dayrene Edwards, Gayle Washington, Charles Jones, Wesley Gibson, James AMEZ Church",9,"Russell, Shernell Edwards, LeRoy Norris",,St.,"Groom Russell D. Jackson Jr., La Verne C. Edwards Jackson, Dayrene Edwards, Shernell Edwards, Gayle Washington, Charles Jones, LeRoy Norris, Wesley Gibson",8,St. James AMEZ Church,
"Portrait of Rochelle Robinson modeling hairstyle of mass of curls seated on top of head, in Pittsburgh Hilton Ballroom for Gloria Golden Grate's Hair Unlimited show", , , , ,"Hilton Ballroom, Gloria Golden Grate, Hair",3,Rochelle Robinson,,"Portrait, Pittsburgh",,0,"Rochelle Robinson, Gloria Golden Grate",Pittsburgh Hilton Ballroom
"Group portrait of Fifth Avenue High School basketball team celebrating, including James Lightfoot, Ramon Singleton, Charles Cook, Lawrence Daniels, and Clarence Shepherd wearing light colored jerseys, with Coach George Cupples at center, after defeating Westinghouse High School at Allderdice High School gymnasium", , , , ,"Fifth Avenue High School, James Lightfoot, Ramon Singleton, Charles Cook, Lawrence Daniels, Clarence Shepherd, Coach George Cupples",7,"Westinghouse High School, Allderdice High School",,Group,"James Lightfoot, Ramon Singleton, Charles Cook, Lawrence Daniels, Clarence Shepherd, George Cupples",6,"Fifth Avenue High School, Westinghouse High School, Allderdice High School",
"Portrait of Alverta Martin wearing open collar suit and beehive hairstyle posed on arm of sofa in interior, possibly Anaheim Street", , , , ,"Alverta Martin, Anaheim Street",2,,,Portrait,Alverta Martin,1,,Anaheim Street
Rev. Patrick LeRoy and Murrel Wynn Jones dancing in ballroom of Hotel Webster Hall for Holy Cross Episcopal Church's 50th Anniversary Dinner Dance, , , , ,,0,,,,"Patrick LeRoy, Murrel Wynn Jones",2,Holy Cross Episcopal Church,Hotel Webster Hall
"Group portrait of thirteen women wearing hats, members of the Interdenominational Ministers Wives, front row from left: Mrs. J. C. Hairston, Mrs. H. H. Gaines, Mrs. J. H. Williams, Mrs. J. G. Harris, Mrs. W. E. Green, Mrs. G. L. Bowick, and Mrs. J. B. Cayce; back row: Mrs. J. A. Williams, Mrs. James E. White, Mrs. B. S. Mason, Mrs. W. H. McCreary III, Mrs. R. W. Twiggs, and Mrs. W. J. Moncrieff, posed behind banquet table at Bethel AME Church, another version", , , , ,"Hairston, Williams, Harris, Bowick",4,Interdenominational,,Group,"J. C. Hairston, H. H. Gaines, J. H. Williams, J. G. Harris, W. E. Green, G. L. Bowick, B. Cayce, A. Williams, James E. White, B. S. Mason, W. H. McCreary III, R. W. Twiggs, W. J. Moncrieff",13,"Interdenominational Ministers Wives, Bethel AME Church",
"Group portrait of Newell family, from left: sons Herbert and Paul, Walter Newell, Mrs. Walter Newell, and daughters Louise and Bertha, gathered around kitchen table in Newell home, Homestead", , , , ,"Herbert, Paul, Walter Newell, Louise, Bertha, Homestead",6,,,"Group, Newell, Newell","Newell, Herbert, Paul, Walter Newell, Walter Newell, Louise, Bertha, Newell",8,,
"Group portrait of Knights of St. Peter Claver officers, from left: Dr. Earl Belle Smith, Father John LaBauve, Willie Kelley, Bishop Vincent Leonard, Shields Gilmore, and Franklin Jerry, posed in St. Brigid's-St. Benedict The Moor Church", , , , ,"Belle Smith, Father John LaBauve, Willie Kelley, Bishop Vincent Leonard, Shields Gilmore, Franklin Jerry",6,"Knights, Moor Church",,"Group, St., St.","Peter Claver, Earl Belle Smith, John LaBauve, Willie Kelley, Vincent Leonard, Gilmore, Franklin Jerry",7,,St. Brigid's-St. Benedict The Moor Church
"Group portrait of groom Bailey W. Williams and bride Jayne Lewis Woodson Williams, cutting two tiered wedding cake in dining room of Hijar Manor, home of Mr. and Mrs. Ira Lewis", , , , ,"Bailey W. Williams, Jayne Lewis Woodson Williams, Hijar Manor, Mr., Lewis",5,,,Group,"Bailey W. Williams, Jayne Lewis Woodson Williams, Ira Lewis",3,,Hijar Manor
"Groom Wayne Leonard Carroll and bride Rose Ann Simpkins Carroll wearing gown with lace sleeves, posed behind three tiered cake in Greene Hearth", , , , ,"Groom, Wayne Leonard Carroll, Rose Ann Simpkins Carroll",3,,,Greene,"Groom Wayne Leonard Carroll, Rose Ann Simpkins Carroll",2,,Greene Hearth
"Folding screen decorated with stamps, Abraham Lincoln statue, Statue of Liberty, and fighter planes, created by Frank S. Spangler for Pittsburgh Press Golden Age Hobby Show", , , , ,"Abraham Lincoln, Statue, Frank S. Spangler, Golden Age Hobby Show",4,Pittsburgh,,Liberty,"Abraham Lincoln, Frank S. Spangler",2,,Pittsburgh
"Portrait of baby Wesley Ann Fox, seated on sofa with dress spread out behind her, in Fox home on Apple Street, Homewood, horizontal format", , , , ,"Wesley Ann Fox, Fox",2,,,"Portrait, Homewood","Wesley Ann Fox, Fox",2,,Apple Street
"Groom Detroit Prince and bride Jessie Jackson Prince, standing behind table with three tiered wedding cake, in Jackson home on Gerritt Street", , , , ,"Groom, Detroit Prince, Jessie Jackson Prince, Gerritt Street",4,,,Jackson,"Jessie Jackson Prince, Jackson",2,Groom Detroit Prince,Gerritt Street
"Portrait of groom Charles A. Mitchell Jr. and bride Maryann Harris Mitchell, standing behind five tiered wedding cake, in interior with dark curtain in background", , , , ,"Charles, Maryann Harris Mitchell",2,Mitchell,,Portrait,"Charles A. Mitchell Jr., Maryann Harris Mitchell",2,,
"Group portrait of thirteen FROGS members, possibly including John Stanton fourth from left in front, and Linn Washington second from left and Atty. Henry Smith fourth from left in back, posed in front of bandstand in Gateway Plaza", , , , ,"John Stanton, Atty",2,"FROGS, Linn Washington",,Group,"John Stanton, Henry Smith",2,FROGS,"Linn Washington, Gateway Plaza"
"William ""Buddy"" Leftridge presenting Charles Rickmond with plaque for meritorious service by FROGS Club, surrounded by seated from left: Dr. Charles F. Baltimore, Dr. Melvin Stockton, Harry Washington, Byron Peters; standing: Dr. Eugene Youngue, Dr. Robert Bolden, Alex Lee, Atty. Linn Washington, Dr. Earl Childs, Atty. Henry Smith Jr., Harold Jones, Edgar Milner, Ron Farrish, Francis Farmer, William Frederick, Percy A. Garland, William E. Graity, and Dr. H. D. Primas, in Loendi Club", , , , ,"William, Charles Rickmond, Charles F. Baltimore, Melvin Stockton, Harry Washington, Byron Peters, Eugene Youngue, Robert Bolden, Alex Lee, Atty",10,FROGS Club,,,"William, Charles Rickmond, Charles F. Baltimore, Melvin Stockton, Harry Washington, Byron Peters, Eugene Youngue, Robert Bolden, Alex Lee, Linn Washington, Earl Childs, Henry Smith Jr., Harold Jones, Edgar Milner, Ron Farrish, Francis Farmer, William Frederick, Percy A. Garland, William E. Graity, H. D. Primas",20,FROGS Club,Loendi Club
"Marian Anderson wearing military uniform with hat and overcoat, standing in snow with trees in background, possibly Oakland", , , , ,Anderson,1,,,"Marian, Oakland",Marian Anderson,1,Oakland,
"Group portrait of clergy and church leaders, from left, seated: Rev. E. W. Gantt, Rev. E. F. Smith, Rev. Eugene E. Morgan, Bishop Stephen G. Spottswood, Rev. A. E. Harris, Rev. A.L. Pierce, and Rev. C. C. Nobles; standing: Rev. W. C. Ardrey, Dave Williamson, Rev. C. C. Ware, Willa Mae Rice, Mrs. B. F. Wright, P. L. Prattis, Rev. F. D. Porter, Rev. W. T. Kennedy, Rev. B. F. Wright, Rev. A. Nicholson, Rev. W. F. Moses, Rev. M. L. Banner, Rev. Allie Mae Johnson, Rev. L. Comer, Rev. A. L. Fuller, and Rev. Charles Foggie, posed in Wesley Center AME Zion Church for meeting on AMICO Corp.", , , , ,,0,,,Group,"E. W. Gantt, E. F. Smith, Eugene E. Morgan, Stephen G. Spottswood, A. E. Harris, Pierce, C. C. Nobles, W. C. Ardrey, Dave Williamson, C. C. Ware, Willa Mae Rice, B. F. Wright, P. L. Prattis, F. D. Porter, W. T. Kennedy, B. F. Wright, A. Nicholson, W. F. Moses, M. L. Banner, Allie Mae Johnson, L. Comer, A. L. Fuller, Charles Foggie",23,"A.L, Wesley Center AME Zion Church, AMICO Corp","Rev, Rev, Rev, Rev, Rev"
"Men and women, including Prince ""Big Blue"" Bruce and Mrs. Bruce gathered around their son, John N. Bruce in U. S. Army uniform and holding little boy, in Bruce home, Rose Street", , , , ,"Bruce, Bruce, John N. Bruce, Rose Street",4,Army,,"Men, Prince, Bruce","Bruce, Bruce, John N. Bruce, Bruce",4,U. S. Army,
"Board of Education of Central Baptist Church members, seated, from left: Josephine Moore, Edith Venable, guest of honor; Rev. W. Augustus Jones, Mrs. Isaac Green, and Bell Lunn; standing:  A.D. Taylor, Andrew Brookins, Catherine Graham, Robert Bailey, Evelyn Young, Isaac Willoughby, Christine Jones, Jack Fisher, Oplenell Rockamore, Clarence Payne, and Helen Thompson, gathered in Central Baptist Church for baby shower, another version", , , , ,"Board, Josephine Moore, Edith Venable",3,"Education, Central Baptist Church",,,"Josephine Moore, Edith Venable, W. Augustus Jones, Isaac Green, Bell Lunn, A.D. Taylor, Andrew Brookins, Catherine Graham, Robert Bailey, Evelyn Young, Isaac Willoughby, Christine Jones, Jack Fisher, Clarence Payne, Helen Thompson",15,"Board of Education of Central Baptist Church, Oplenell Rockamore, Central Baptist Church",
"Hubert Ivey, Father John LaBauve, Roland Sawyer, Henry Musamali, Peter Kanari, and James McCoy posed in Loendi Club for NAACP Young Adult meeting", , , , ,"Hubert, Father John LaBauve, Henry Musamali, Peter Kanari, James McCoy",5,NAACP Young Adult,,"Ivey, Roland Sawyer, Loendi Club","Hubert Ivey, John LaBauve, Roland Sawyer, Henry Musamali, Peter Kanari, James McCoy",6,NAACP,Loendi Club
"Group portrait of Rev. J. B. Cayce, Corrine Moses, Rev. B. S. Mason, Mrs. L. L. Jefferson, Mrs. Mason, Anna L. Wilson, Rev. W. D. Petett, Alma Illery, and Mary S. Hunt, posed in St. Luke's Church", , , , ,,0,,,Group,"B. Cayce, Corrine Moses, B. S. Mason, L. L. Jefferson, Mason, Anna L. Wilson, W. D. Petett, Alma Illery, Mary S. Hunt",9,,St. Luke 's Church
"Wedding party members, including from left: Beatrice Williams, Kathryn Bolden, unknown, Bill Carter, Marty Sloan, Harry Bobo, and Herbert Douglass, standing underneath awning in front of Holy Cross Church for Williams - Brice wedding", , , , ,"Williams, Kathryn Bolden, Bill Carter, Marty Sloan, Harry Bobo, Herbert Douglass, Williams",7,Holy Cross Church,,Brice,"Beatrice Williams, Kathryn Bolden, Bill Carter, Marty Sloan, Harry Bobo, Herbert Douglass",6,Holy Cross Church for Williams - Brice,
"Groom Frederick Stanford wearing bow tie and jacket with satin lapels, and bride Mary Finks Stanford, wearing tiara and floral dress, posed in interior in front of light colored curtain", , , , ,"Groom, Frederick Stanford, Mary Finks Stanford",3,,,,Mary Finks Stanford,1,Groom Frederick Stanford,
"Group portrait of Curtis Parker, Rev. George A. Fitch, placing crown on Desiree Nelson, winner of Sweetheart Contest, Phyllis Gray, Gerald Farris, and Mark Washington, gathered in Homewood AME Zion during Sunday School", , , , ,"Curtis Parker, Rev",2,,,Group,"Curtis Parker, George A. Fitch, Desiree Nelson, Phyllis Gray, Gerald Farris, Mark Washington",6,Homewood AME Zion,
"Women seated on stone bench, from left: Carrie Millan, Mrs. D. W. Boyd, Lacy Doss, Ethel Jenkins, Florence Byrd Duke; standing: Jessie Vann and Hazel Reid, on Vann estate Sycamore Manor, Oakmont", , , , ,"Carrie Millan, Lacy Doss, Ethel Jenkins, Florence Byrd Duke, Jessie Vann, Hazel Reid, Sycamore Manor, Oakmont",8,,,Vann,"Carrie Millan, D. W. Boyd, Lacy Doss, Ethel Jenkins, Florence Byrd Duke, Jessie Vann, Hazel Reid, Vann, Oakmont",9,,
Alma Illery and Gordon Irving gathered around piano in WTAE television station studio, , , , ,"Alma, Gordon Irving",2,"Illery, WTAE",,,"Alma Illery, Gordon Irving",2,WTAE,
"Corner of old Homewood-Brushton Branch YMCA being razed, with new building on right, another version", , , , ,Branch,1,,,Corner,,0,Homewood-Brushton Branch YMCA,
"Donald Warden and Bobbie Green Turner wearing African style clothing, seated on wooden bench in the Flying Carpet for Alpha Kappa Alpha for ""Ajoyo""", , , , ,"Donald, Bobbie Green Turner, Alpha Kappa Alpha",3,Warden,,African,"Donald Warden, Bobbie Green Turner",2,,Alpha Kappa Alpha
"Group portrait, from left: Vic Miles, Dr. Robert Bolden, Patsy Ware, and Catherine Jackson, seated on stage in Crescent Elementary School for career conference", , , , ,"Vic Miles, Robert Bolden, Patsy Ware, Catherine Jackson",4,Crescent Elementary School,,Group,"Vic Miles, Robert Bolden, Patsy Ware, Catherine Jackson",4,Crescent Elementary School,
"Director of McClure Community Center Charles Betts Sr. seated at desk, Homestead", , , , ,"Charles Betts, Homestead",2,McClure,,,,0,McClure Community Center Charles Betts Sr.,
"Women's Auxiliary of Pittsburgh NAACP honoring Secretary of the Commonwealth of Pennsylvania C. DeLores Tucker, with guests including Rev. LeRoy Patrick, Atty. Everett Utterback, and Julia Gaines, gathered around perimeter of ballroom, William Penn Hotel", , , , ,Rev,1,"Pittsburgh, Commonwealth, DeLores Tucker",,"Women, Pennsylvania","C. DeLores Tucker, LeRoy Patrick, Everett Utterback, Julia Gaines, William Penn Hotel",5,NAACP,"Pittsburgh, Pennsylvania"
"Tim Stevens posing on chair beside sign inscribed ""N.A.A.C.P. Selected Buying Campaign Against Pittsburgh Brewery,"" in NAACP office", , , , ,"Tim, Stevens",2,,,,Tim Stevens,1,"Selected Buying Campaign Against Pittsburgh Brewery, NAACP",
"Group portrait, from left: Wilhelmina Cooper, Mildred Arnett, Luther Dupree, Oliver Dent, Lillian Allen Carter, Elizabeth Ballard, and Rev. and Mrs. L. E. Dukes, posed in Bethel Baptist Church for Wilhelmina's Feast and Fair, Braddock", , , , ,"Wilhelmina Cooper, Mildred Arnett, Luther Dupree, Oliver Dent, Lillian Allen Carter, Elizabeth Ballard",6,,,Group,"Wilhelmina Cooper, Mildred Arnett, Luther Dupree, Oliver Dent, Lillian Allen Carter, Elizabeth Ballard, L. E. Dukes, Wilhelmina, Braddock",9,,Bethel Baptist Church
"Woman handing small vase with flowers or plant to another woman, possibly Mrs. Johnson, in front of banner inscribed ""G.L.C. Club, Homestead, Pennsylvania, organized 1912"", in Clark Memorial Baptist Church, Homestead", , , , ,Johnson,1,,,,"Johnson, Homestead",2,,"Pennsylvania, Clark Memorial Baptist Church"
"Group portrait, seated, from left: Alice Adams, Ida Mae Jackson, Louis Adams, Sadie Harris, Mr. and Mrs. Lorenzo R. Adams, guests of honor; Helen Ballou, Jeanne Daniels, Margaret Adams, and Geneva Adams; standing: Ralph B. Adams, Joseph J. Jackson, First Sgt. William L. Adams, Cornelius C. Harris, Henry W. Adams, Mabel Adams, Joseph Daniels, Alderman John H. Adams, and Thomas E. Adams, gathered at banquet table for 50th wedding anniversary in Christian Tabernacle Church", , , , ,"Adams, Ida Mae Jackson, Louis Adams, Sadie Harris, Mr., Lorenzo R. Adams, Helen Ballou, Jeanne Daniels, Margaret Adams, Geneva Adams, Ralph B. Adams, Joseph J. Jackson, First Sgt",13,,,Group,"Alice Adams, Ida Mae Jackson, Louis Adams, Sadie Harris, Lorenzo R. Adams, Helen Ballou, Jeanne Daniels, Margaret Adams, Geneva Adams, Ralph B. Adams, Joseph J. Jackson, William L. Adams, Cornelius C. Harris, Henry W. Adams, Mabel Adams, Joseph Daniels, Alderman John H. Adams, Thomas E. Adams",18,,
"Lois Weaver Watson and Threasa Weaver wearing matching dance costumes, with one long sleeved and sash around waist, posing in fourth position, in the Horizon room with leaf patterned carpet and marble baseboard for Junior Mothers' ""Smart Affairs of 1961""", , , , ,"Lois, Weaver Watson, Threasa Weaver, Junior Mothers, Smart Affairs",5,Horizon,,,"Lois Weaver Watson, Threasa Weaver",2,,
"Group portrait of three women, and three men, including groom Bruce G. Whitner and bride Jean Russell Whitner wearing loose fitting gown with upturned cuffs, and veil with large flower, standing behind three tiered wedding cake in Homewood AME Zion Church", , , , ,"Bruce G. Whitner, Jean Russell Whitner",2,,,"Group, Homewood","Bruce G. Whitner, Jean Russell Whitner",2,Homewood AME Zion Church,
"Group at Beta Phi Alpha sorority party including seated from left: Carma Lestwick, Caren Kemp, Mary Alice Calloway, Iris Keys, Dolly Mellix, Beverly Smith; standing: Leroy Mellix, Eugene Robinson, Leroy Randall Jr., Guy [last name unknown], James Thompson, Jimmy Wrights and 'Butch' Harris, in Mellix home", , , , ,"Carma Lestwick, Caren Kemp, Mary Alice Calloway, Iris Keys, Dolly Mellix, Beverly Smith, Leroy Mellix, Eugene Robinson, Leroy Randall Jr., Guy, James Thompson, Jimmy Wrights, Harris",13,Beta Phi,,"Group, Mellix","Caren Kemp, Mary Alice Calloway, Iris Keys, Dolly Mellix, Beverly Smith, Leroy Mellix, Eugene Robinson, Leroy Randall Jr., James Thompson, Jimmy Wrights, Harris",11,Carma Lestwick,"Beta Phi Alpha, Mellix"
